month_idx,lat_cell,lon_cell,chlor_a_mean,sst_mean,sharks_count_mean,years_with_obs,years_total,sharks_presence_rate,chl_norm,sst_norm,sh_norm,risk_score
5,25,-78,0.08940805,26.959999666666665,2.0,1,1,1.0,0.013604487620821835,0.7792837465049508,1.0,0.014
5,26,-80,0.07261151,27.51166633333333,2.0,1,1,1.0,0.008223493670801826,0.8157575757036413,1.0,0.008
5,33,-119,0.51625353,17.494999833333335,1.0,1,1,1.0,0.15035008793334975,0.1534986335986669,1.0,0.15
5,33,-79,0.57465523,22.964999666666667,1.0,1,1,1.0,0.1690598456793429,0.5151515151174556,1.0,0.169
5,34,-77,0.2648936,23.33666633333333,6.0,1,1,1.0,0.06982360672903902,0.5397245178706517,1.0,0.07
5,44,-9,0.26608342,15.173333,1.0,1,1,1.0,0.07020478131747288,0.0,1.0,0.07
6,-35,18,0.3199364,19.866666666666664,1.0,1,1,1.0,0.05869198309828373,0.18426907712555224,1.0,0.059
6,-35,22,0.52666724,17.52,12.0,1,1,1.0,0.10643633458136595,0.0,1.0,0.106
6,-23,113,1.6557606,25.7866665,1.0,1,1,1.0,0.3671997032062615,0.6491296904231764,1.0,0.367
6,-19,178,0.13487549,26.803333166666665,29.0,2,2,1.0,0.015952287691352433,0.7289621741210364,1.0,0.016
6,2,104,0.28105688,30.254999833333333,1.0,1,1,1.0,0.04971278353437964,0.9999999999214763,1.0,0.05
6,7,134,0.06792781,29.939999666666665,2.0,1,1,1.0,0.0004907650424002305,0.9752650041802566,1.0,0.0
6,17,-64,0.07667454,28.5183325,1.0,1,1,1.0,0.0025108165811431656,0.8636303606654702,1.0,0.003
6,20,-157,0.24982779,26.15166633333333,1.0,1,1,1.0,0.042500445745509784,0.6777908477126566,1.0,0.043
6,21,-159,0.06580282,26.674999666666665,1.0,1,1,1.0,0.0,0.7188849458784403,1.0,0.0
6,30,-87,0.18668036,27.563332666666668,1.0,1,1,1.0,0.027916588333749968,0.7886401882464122,1.0,0.028
6,39,-75,4.3957567,20.038333,1.0,1,1,1.0,0.9999999997690506,0.1977489621327376,1.0,1.0
6,40,-74,0.8824538,18.958333166666662,1.0,1,1,1.0,0.18860500652986054,0.11294332040656507,1.0,0.189
7,-35,22,0.54005367,16.984999833333333,2.0,1,1,1.0,0.5641220177271189,0.06120317507045095,1.0,0.564
7,-4,-81,0.52118224,23.699999666666667,2.0,1,1,1.0,0.5426370052237663,0.5869763921618179,1.0,0.543
7,21,-159,0.044555277,27.35999933333333,2.0,1,1,1.0,0.0,0.8735482234438186,1.0,0.0
7,33,-79,0.9229085,28.974999166666667,1.0,1,1,1.0,0.9999999988615059,0.9999999999217016,1.0,1.0
7,51,-6,0.41412488,16.203333333333333,2.0,1,1,1.0,0.4207528280217253,0.0,1.0,0.421
